"mukey" "cokey" "Loc" "Lat" "Lon" "dist" "centX" "centY" "cont" "awc" "mdep" "hrb" "elev" "corn_yield" "corn_yield_high" "comppct" "New_Lat_ROW_Index_NARR" "New_Lat_COL_Index_NARR" "New_Lon_ROW_Index_NARR" "New_Lon_COL_Index_NARR" "New_Loc"
660839 956772 251 39.3041801453 -123.277297974 0 -123.300488393 39.2826831044 1 0.141076923077 127 2 686 NA NA 11 131 111 131 111 11231
660839 956763 251 39.3041801453 -123.277297974 0 -123.300488393 39.2826831044 1 0.122487517641318 70.42 2.625 729.125 NA NA 61 131 111 131 111 11231
660807 956194 252 39.5846710205 -123.357803345 0 -123.316854123 39.5642361809 1 0.11 38 1 762 NA NA 23 131 112 131 112 11331
660807 956179 252 39.5846710205 -123.357803345 0 -123.316854123 39.5642361809 1 0.0833333333333 23 2 1067 NA NA 21 131 112 131 112 11331
660807 956188.157894737 252 39.5846710205 -123.357803345 0 -123.316854123 39.5642361809 1 0.128450565833006 55.7678571428571 1.52941176470588 701.705882352941 NA NA 56 131 112 131 112 11331
660837 956713 253 39.8653297424 -123.439102173 0 -123.487542303 39.8279175379 1 0.148951612903 127 1 686 NA NA 12 131 113 131 113 11431
660837 956719 253 39.8653297424 -123.439102173 0 -123.487542303 39.8279175379 1 0.048085106383 NA NA 686 NA NA 11 131 113 131 113 11431
660837 956721.52631579 253 39.8653297424 -123.439102173 0 -123.487542303 39.8279175379 1 0.115384733692099 94.1267605633803 1.375 711.631578947368 NA NA 77 131 113 131 113 11431
660824 956485 254 40.1461410522 -123.521202087 0 -123.56359662 40.1409759076 1 0.0699230769231 127 NA 869 NA NA 21 131 114 131 114 11531
660824 956486 254 40.1461410522 -123.521202087 0 -123.56359662 40.1409759076 1 0.0699230769231 127 NA 869 NA NA 20 131 114 131 114 11531
660824 956494 254 40.1461410522 -123.521202087 0 -123.56359662 40.1409759076 1 0.105056637527483 110.792452830189 1.5 790.461538461538 NA NA 59 131 114 131 114 11531
660827 956540 255 40.4271011353 -123.604103088 0 -123.566766465 40.3420676093 1 0.1571875 77 3 778 NA NA 14 131 115 131 115 11631
660827 956539 255 40.4271011353 -123.604103088 0 -123.566766465 40.3420676093 1 0.07 77 3 1296 NA NA 9 131 115 131 115 11631
660827 956550 255 40.4271011353 -123.604103088 0 -123.566766465 40.3420676093 1 0.11532403269947 111.716666666667 2.05263157894737 841.176470588235 NA NA 77 131 115 131 115 11631
660827 956540 256 40.7082099915 -123.687896729 0 -123.645376121 41.0725690271 1 0.1571875 77 3 778 NA NA 14 131 116 131 116 11731
660827 956539 256 40.7082099915 -123.687896729 0 -123.645376121 41.0725690271 1 0.07 77 3 1296 NA NA 9 131 116 131 116 11731
660827 956550 256 40.7082099915 -123.687896729 0 -123.645376121 41.0725690271 1 0.11532403269947 111.716666666667 2.05263157894737 841.176470588235 NA NA 77 131 116 131 116 11731
660827 956540 257 40.989440918 -123.772499084 0 -123.645376121 41.0725690271 1 0.1571875 77 3 778 NA NA 14 131 117 131 117 11831
660827 956539 257 40.989440918 -123.772499084 0 -123.645376121 41.0725690271 1 0.07 77 3 1296 NA NA 9 131 117 131 117 11831
660827 956550 257 40.989440918 -123.772499084 0 -123.645376121 41.0725690271 1 0.11532403269947 111.716666666667 2.05263157894737 841.176470588235 NA NA 77 131 117 131 117 11831
660832 956637 258 41.2708091736 -123.857902527 0 -123.974939237 41.4512304046 1 0.153566878981 NA 1 914 NA NA 37 131 118 131 118 11931
660832 956639 258 41.2708091736 -123.857902527 0 -123.974939237 41.4512304046 1 0.136242424242 NA 1 NA NA NA 23 131 118 131 118 11931
660832 956643.90909091 258 41.2708091736 -123.857902527 0 -123.974939237 41.4512304046 1 0.106188447950603 72.7222222222222 1.36363636363636 573.2 NA NA 40 131 118 131 118 11931
660832 956637 259 41.5522994995 -123.944198608 0 -123.974939237 41.4512304046 1 0.153566878981 NA 1 914 NA NA 37 131 119 131 119 12031
660832 956639 259 41.5522994995 -123.944198608 0 -123.974939237 41.4512304046 1 0.136242424242 NA 1 NA NA NA 23 131 119 131 119 12031
660832 956643.90909091 259 41.5522994995 -123.944198608 0 -123.974939237 41.4512304046 1 0.106188447950603 72.7222222222222 1.36363636363636 573.2 NA NA 40 131 119 131 119 12031
660827 956540 260 41.8339118958 -124.031303406 0 -123.645376121 41.0725690271 1 0.1571875 77 3 778 NA NA 14 131 120 131 120 12131
660827 956539 260 41.8339118958 -124.031303406 0 -123.645376121 41.0725690271 1 0.07 77 3 1296 NA NA 9 131 120 131 120 12131
660827 956550 260 41.8339118958 -124.031303406 0 -123.645376121 41.0725690271 1 0.11532403269947 111.716666666667 2.05263157894737 841.176470588235 NA NA 77 131 120 131 120 12131
666908 988934 261 42.1156196594 -124.119400024 0 -124.11934971 42.0110939165 1 0.16641025641 127 3 229 NA NA 25 131 121 131 121 12231
666908 988921 261 42.1156196594 -124.119400024 0 -124.11934971 42.0110939165 1 0.16641025641 127 3 229 NA NA 20 131 121 131 121 12231
666908 988925.842105263 261 42.1156196594 -124.119400024 0 -124.11934971 42.0110939165 1 0.158819420732909 97 2.68421052631579 229 NA NA 55 131 121 131 121 12231
666946 989503 262 42.3974304199 -124.208297729 0 -124.191777802 42.2771318416 1 0.180394736842 NA 3 282 NA NA 24 131 122 131 122 12331
666946 989500 262 42.3974304199 -124.208297729 0 -124.191777802 42.2771318416 1 0.2 127 NA 320 NA NA 22 131 122 131 122 12331
666946 989505.1 262 42.3974304199 -124.208297729 0 -124.191777802 42.2771318416 1 0.147387155274463 113.363636363636 2.75 381.9 NA NA 54 131 122 131 122 12331
666946 989503 263 42.6793289185 -124.298202515 0 -124.25955671 42.8566645956 1 0.180394736842 NA 3 282 NA NA 24 131 123 131 123 12431
666946 989500 263 42.6793289185 -124.298202515 0 -124.25955671 42.8566645956 1 0.2 127 NA 320 NA NA 22 131 123 131 123 12431
666946 989505.1 263 42.6793289185 -124.298202515 0 -124.25955671 42.8566645956 1 0.147387155274463 113.363636363636 2.75 381.9 NA NA 54 131 123 131 123 12431
666946 989503 264 42.9613304138 -124.388999939 0 -124.25955671 42.8566645956 1 0.180394736842 NA 3 282 NA NA 24 131 124 131 124 12531
666946 989500 264 42.9613304138 -124.388999939 0 -124.25955671 42.8566645956 1 0.2 127 NA 320 NA NA 22 131 124 131 124 12531
666946 989505.1 264 42.9613304138 -124.388999939 0 -124.25955671 42.8566645956 1 0.147387155274463 113.363636363636 2.75 381.9 NA NA 54 131 124 131 124 12531
661093 960348 345 37.684261322 -122.457099915 0 -122.460217068 37.6828605042 1 NA 25 NA NA NA NA 65 132 105 132 105 10632
661093 960353 345 37.684261322 -122.457099915 0 -122.460217068 37.6828605042 1 NA NA NA NA NA NA 25 132 105 132 105 10632
661093 960350.5 345 37.684261322 -122.457099915 0 -122.460217068 37.6828605042 1 0.10698932102833 65.2857142857143 2 196 NA NA 10 132 105 132 105 10632
660763 955467 346 37.9639816284 -122.53150177 0 -122.531863317 37.9747190483 1 NA 25 NA NA NA NA 45 132 106 132 106 10732
660763 955459 346 37.9639816284 -122.53150177 0 -122.531863317 37.9747190483 1 NA NA NA 381 NA NA 34 132 106 132 106 10732
660763 955464.222222222 346 37.9639816284 -122.53150177 0 -122.531863317 37.9747190483 1 0.113685248267238 65.8571428571429 2.875 276.555555555556 NA NA 21 132 106 132 106 10732
660762 955445 347 38.2439002991 -122.606697083 0 -122.617484741 38.254681385 1 0.14 NA 3 232 NA NA 41 132 107 132 107 10832
660762 955442 347 38.2439002991 -122.606697083 0 -122.617484741 38.254681385 1 0.14 NA 2 610 NA NA 16 132 107 132 107 10832
660762 955450.866666667 347 38.2439002991 -122.606697083 0 -122.617484741 38.254681385 1 0.133073145807863 127 2.69230769230769 234.4 NA NA 43 132 107 132 107 10832
660780 955752 348 38.5240287781 -122.682502747 0 -122.579954839 38.3928843133 1 0.108604651163 36 3 991 NA NA 18 132 108 132 108 10932
660780 955753 348 38.5240287781 -122.682502747 0 -122.579954839 38.3928843133 1 0.0946511627907 36 2 991 NA NA 11 132 108 132 108 10932
660780 955761.894736842 348 38.5240287781 -122.682502747 0 -122.579954839 38.3928843133 1 0.121194164212973 48.6818181818182 2 600.5 NA NA 71 132 108 132 108 10932
660807 956194 349 38.8043403625 -122.759101868 0 -122.970627804 39.0206031733 1 0.11 38 1 762 NA NA 23 132 109 132 109 11032
660807 956179 349 38.8043403625 -122.759101868 0 -122.970627804 39.0206031733 1 0.0833333333333 23 2 1067 NA NA 21 132 109 132 109 11032
660807 956188.157894737 349 38.8043403625 -122.759101868 0 -122.970627804 39.0206031733 1 0.128450565833006 55.7678571428571 1.52941176470588 701.705882352941 NA NA 56 132 109 132 109 11032
657964 945006 350 39.0848388672 -122.836402893 0 -122.800387495 39.0420028498 1 NA NA NA NA NA NA 100 132 110 109 3 11132
660808 956200 351 39.3655090332 -122.914497375 0 -122.945103768 39.3765109773 1 0.123027522936 127 NA 915 NA NA 22 132 111 132 111 11232
660808 956216 351 39.3655090332 -122.914497375 0 -122.945103768 39.3765109773 1 0.149248554913 NA 2 960 NA NA 14 132 111 132 111 11232
660808 956209.105263158 351 39.3655090332 -122.914497375 0 -122.945103768 39.3765109773 1 0.134970723818953 93 1.8125 801.157894736842 NA NA 64 132 111 132 111 11232
660809 956224 352 39.6463508606 -122.993301392 0 -122.960639488 39.495539554 1 0.0743243243243 77 2 1204 NA NA 17 132 112 132 112 11332
660809 956228 352 39.6463508606 -122.993301392 0 -122.960639488 39.495539554 1 0.05 102 0 610 NA NA 12 132 112 132 112 11332
660809 956230.421052632 352 39.6463508606 -122.993301392 0 -122.960639488 39.495539554 1 0.0929368675956386 74.7936507936508 2 1141.66666666667 NA NA 71 132 112 132 112 11332
660810 956246 353 39.9273605347 -123.072998047 0 -123.094061598 39.9268693048 1 NA 0 0 NA NA NA 32 132 113 132 113 11432
660810 956253 353 39.9273605347 -123.072998047 0 -123.094061598 39.9268693048 1 0.08 33 1 2134 NA NA 32 132 113 132 113 11432
